"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"python-packaging","26.2","Apache-2.0 or BSD-2-Clause","LICENSE LICENSE.APACHE LICENSE.BSD","packaging-26.2.tar.gz","https://files.pythonhosted.org/packages/d7/f1/e7a6dd94a8d4a5626c03e4e99c87f241ba9e350cd9e6d75123f992427270","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-expat [MIT] host-libffi [MIT] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-python-flit-core [BSD-3-Clause] host-python-installer [MIT] host-python3 [Python-2.0, others] host-skeleton [GPL-2.0-or-later]"
"python-pyproject-hooks","1.2.0","MIT","LICENSE","pyproject_hooks-1.2.0.tar.gz","https://files.pythonhosted.org/packages/e7/82/28175b2414effca1cdac8dc99f76d660e7a4fb0ceefa4b4ab8f5f6742925","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-expat [MIT] host-libffi [MIT] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-python-flit-core [BSD-3-Clause] host-python-installer [MIT] host-python3 [Python-2.0, others] host-skeleton [GPL-2.0-or-later]"
"python-setuptools","80.9.0","MIT","LICENSE","setuptools-80.9.0.tar.gz","https://files.pythonhosted.org/packages/18/5d/3bf57dcd21979b887f014ea83c24ae194cfcd12b9e0fda66b957c69d1fca","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-expat [MIT] host-libffi [MIT] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-python-flit-core [BSD-3-Clause] host-python-installer [MIT] host-python-packaging [Apache-2.0 or BSD-2-Clause] host-python-pypa-build [MIT] host-python-pyproject-hooks [MIT] host-python-wheel [MIT] host-python3 [Python-2.0, others] host-skeleton [GPL-2.0-or-later]"
"python-wheel","0.47.0","MIT","LICENSE.txt","wheel-0.47.0.tar.gz","https://files.pythonhosted.org/packages/39/62/75f18a0f03b4219c456652c7780e4d749b929eb605c098ce3a5b6b6bc081","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-expat [MIT] host-libffi [MIT] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-python-flit-core [BSD-3-Clause] host-python-installer [MIT] host-python-packaging [Apache-2.0 or BSD-2-Clause] host-python-pypa-build [MIT] host-python-pyproject-hooks [MIT] host-python3 [Python-2.0, others] host-skeleton [GPL-2.0-or-later]"
"gperf","3.3","GPL-3.0+","COPYING","gperf-3.3.tar.gz","https://ftpmirror.gnu.org/gperf","host-skeleton [GPL-2.0-or-later]"
"e2fsprogs","1.47.4","GPL-2.0, MIT-like with advertising clause (libss and libet)","NOTICE lib/ss/mit-sipb-copyright.h lib/et/internal.h","e2fsprogs-1.47.4.tar.xz","https://cdn.kernel.org/pub/linux/kernel/people/tytso/e2fsprogs/v1.47.4","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-skeleton [GPL-2.0-or-later] host-util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill), MIT (hardlink, flock)]"
"util-linux","2.41.5","GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill), MIT (hardlink, flock)","README.licensing Documentation/licenses/COPYING.BSD-2-Clause Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.BSD-4-Clause-UC Documentation/licenses/COPYING.EUPL-1.2 Documentation/licenses/COPYING.GPL-2.0-only Documentation/licenses/COPYING.GPL-2.0-or-later Documentation/licenses/COPYING.GPL-3.0-or-later Documentation/licenses/COPYING.ISC Documentation/licenses/COPYING.LGPL-2.1-or-later Documentation/licenses/COPYING.MIT","util-linux-2.41.5.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.41","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-skeleton [GPL-2.0-or-later]"
"kmod","34.2","LGPL-2.1+ (library)","libkmod/COPYING","kmod-34.2.tar.xz","https://cdn.kernel.org/pub/linux/utils/kernel/kmod","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-cmake [BSD-3-Clause] host-expat [MIT] host-libffi [MIT] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-meson [Apache-2.0] host-ninja [Apache-2.0] host-pkgconf [pkgconf license] host-python-flit-core [BSD-3-Clause] host-python-installer [MIT] host-python-packaging [Apache-2.0 or BSD-2-Clause] host-python-pypa-build [MIT] host-python-pyproject-hooks [MIT] host-python-setuptools [MIT] host-python-wheel [MIT] host-python3 [Python-2.0, others] host-skeleton [GPL-2.0-or-later]"
"patchelf","0.13","GPL-3.0+","COPYING","patchelf-0.13.tar.bz2","https://github.com/NixOS/patchelf/releases/download/0.13","host-skeleton [GPL-2.0-or-later]"
"libopenssl","3.6.4","Apache-2.0","LICENSE.txt","openssl-3.6.4.tar.gz","https://github.com/openssl/openssl/releases/download/openssl-3.6.4","host-libzlib [Zlib] host-skeleton [GPL-2.0-or-later]"
"acl","2.4.0","GPL-2.0+ (programs), LGPL-2.1+ (libraries)","doc/COPYING doc/COPYING.LGPL","acl-2.4.0.tar.xz","https://download.savannah.nongnu.org/releases/acl","host-attr [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] host-skeleton [GPL-2.0-or-later]"
"attr","2.6.0","GPL-2.0+ (programs), LGPL-2.1+ (libraries)","doc/COPYING doc/COPYING.LGPL","attr-2.6.0.tar.xz","http://download.savannah.gnu.org/releases/attr","host-skeleton [GPL-2.0-or-later]"
"fakeroot","1.37.2","GPL-3.0+","COPYING","fakeroot_1.37.2.orig.tar.gz","https://snapshot.debian.org/archive/debian/20260401T000000Z/pool/main/f/fakeroot","host-acl [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] host-attr [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] host-skeleton [GPL-2.0-or-later]"
"libxcrypt","4.5.2","LGPL-2.1+","LICENSING COPYING.LIB","libxcrypt-4.5.2.tar.xz","https://github.com/besser82/libxcrypt/releases/download/v4.5.2","host-skeleton [GPL-2.0-or-later]"
